No;Kab/Kota;Jenis Budidaya;PRODUKSI;;naik/ turun;;NLAI PRODUKSI;;naik/ turun;;RTP;;naik/ turun;;LUAS LAHAN (Ha);;naik/ turun;;TENAGA KERJA;;naik/ turun
6;Karangasem;Tambak; 142.00 ; 177.00 ; 24.65 ;; 11,010,000.0 ; 14,160,000.0 ; 28.61 ;; 10 ; 10 ; -   ;; 10.0 ; 10.0 ; -   ;; 72.0 ; 72.0 ; -   
;;Kolam; 319.00 ; 232.00 ; (27.27);; 11,598,000.0 ; 10,905,000.0 ; (5.98);; 600 ; 136 ; (77.33);; 70.0 ; 148.0 ; 111.43 ;; 625.0 ; 136.0 ; (78.24)
;;; 461.00 ; 409.00 ; (11.28);; 22,608,000.0 ; 25,065,000.0 ; 10.87 ;; 610 ; 146 ; (76.07);; 80.0 ; 158.0 ; 97.50 ;; 697.0 ; 208.0 ; (70.16)
;;;;;;;;;;;;;;;;;;;;;
7;Klungkung;Laut; 106,295.50 ; 100,484.86 ; (5.47);; 128,738,570.7 ; 61,913,840.8 ; (51.91);; 2,641 ; 2,641 ; -   ;; 211.3 ; 211.3 ; -   ;; 2,641.0 ; 2,641.0 ; -   
;;Kolam; 31.67 ; 6.30 ; (80.11);; 539,978.0 ; 110,639.7 ; (79.51);; 18 ; 18 ; -   ;; 4.3 ; 4.3 ; -   ;; 20.0 ; 18.0 ; (10.00)
;;; 106,327.17 ; 100,491.16 ; (5.49);; 129,278,548.7 ; 62,024,480.5 ; (52.02);; 2,659 ; 2,659 ; -   ;; 215.6 ; 215.6 ; -   ;; 2,661.0 ; 2,659.0 ; (0.08)
;;;;;;;;;;;;;;;;;;;;;
8;Gianyar;tambak; -   ; -   ;#DIV/0!;; -   ; -   ;#DIV/0!;; -   ; -   ;#DIV/0!;; -   ; -   ;#DIV/0!;; -   ; -   ;#DIV/0!
;;kolam; 877.76 ; 820.36 ; (6.54);; 28,205,640.0 ; 20,610,780.0 ;; 127.00 ; 748 ; 748 ; -   ;; 439.9 ; 748.0 ; 70.04 ;; 748.0 ; 748.0 ; -   
;;; 877.76 ; 820.36 ; (6.54);; 28,205,640.0 ; 20,610,780.0 ; (26.93); 120.00 ; 748 ; 748 ; -   ;; 439.9 ; 748.0 ; 70.04 ;120; 748.0 ; 748.0 ; -   
;;;;;;;;;;;;;;;;;;;;;
9;Bangli;Kolam; 1,745.50 ; 1,595.02 ; (8.62);; 36,987,500.0 ; 36,040,100.0 ; (2.56);; 570 ; 561 ; (1.58);; 24.0 ; 24.0 ; -   ;; 570.0 ; 561.0 ; (1.58)
;;Sawah; 65.00 ; 34.00 ; (47.69);; 1,564,000.0 ; 827,000.0 ; (47.12);; 890 ; 899 ; 1.01 ;; 195.0 ; 198.6 ; 1.85 ;; 899.0 ; 899.0 ; -   
;;Jaring Apung; 4,604.50 ; 4,261.00 ; (7.46);; 107,192,500.0 ; 99,536,000.0 ; (7.14);; 320 ; 310 ; (3.13);; 8.6 ; 8.5 ; (1.16);; 320.0 ; 310.0 ; (3.13)
;;; 6,415.00 ; 5,890.02 ; (8.18);; 145,744,000.0 ; 136,403,100.0 ; (6.41);; 1,780 ; 1,770 ; (0.56);; 227.6 ; 231.1 ; 1.54 ;; 1,789.0 ; 1,770.0 ; (1.06)
;TOTAL BALI;; 122,621.78 ; 118,497.62 ; (3.36);; 586,018,945.7 ; 678,721,179.5 ; 15.82 ;; 9,744 ; 10,441 ; 7.15 ;; 1,986.2 ; 2,428.4 ; 22.26 ;; 18,519.0 ; 19,056.0 ; 2.90 
;;;;;;;;;;570;;;;;;;;;;;
;;PRODUKSI;;;;;NILAI PRODUKSI;;;;RTP;;;;LUAS LAHAN;;;;TENAGA KERJA;;
;;PROVINSI BALI;2015;2016;naik/ turun;;2015;2016;naik/ turun;;2015;2016;naik/ turun;;2015;2016;naik/ turun;;2015;2016;naik/ turun
;;Laut; 107,921.5 ; 101,706.3 ; (5.76);; 168,524,637.7 ; 104,674,618.8 ; (37.89);; 2,746.0 ; 2,796.0 ; 1.82 ;; 533.2 ; 532.0 ; (0.23);; 5,094.0 ; 5,094.0 ; -   
;;Tambak; 3,287.5 ; 5,322.2 ; 61.89 ;; 158,480,930.0 ; 297,884,290.0 ; 87.96 ;; 132.0 ; 132.0 ; -   ;; 199.0 ; 199.0 ; -   ;; 458.0 ; 458.0 ; -   
;;Kolam; 6,480.7 ; 6,424.1 ; (0.87);; 143,381,778.0 ; 153,768,630.7 ; 7.24 ;; 5,362.0 ; 6,010.0 ; 12.09 ;; 997.0 ; 1,436.9 ; 44.12 ;; 10,912.0 ; 11,459.0 ; 5.01 
;;Sawah; 245.0 ; 716.1 ; 192.26 ;; 6,822,600.0 ; 21,319,090.0 ; 212.48 ;; 1,100.0 ; 1,109.0 ; 0.82 ;; 246.9 ; 250.5 ; 1.46 ;; 1,586.0 ; 1,586.0 ; -   
;;Jaring Apung; 4,687.0 ; 4,328.8 ; (7.64);; 108,809,000.0 ; 101,074,550.0 ; (7.11);; 404.0 ; 394.0 ; (2.48);; 10.1 ; 10.0 ; (0.99);; 469.0 ; 459.0 ; (2.13)
;;TOTAL; 122,621.8 ; 118,497.6 ; (3.36);; 586,018,945.7 ; 678,721,179.5 ; 15.82 ; 890.00 ; 9,744.0 ; 10,441.0 ; 7.15 ;; 1,986.2 ; 2,428.4 ; 22.26 ;; 18,519.0 ; 19,056.0 ; 2.90 
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
