rgn_id,years,loc,reg,tbd_tbu,temp_c,tss_mgl-1,tds_mgl-1,pH,salinity,do_mgl-1,bod5_mgl-1,cod_mgl-1,nh3-n_mgl-1,no3-n_mgl-1,so2_mgl-1,po4_mgl-1,h2s_mgl-1,crudeoil_mgl-1,detergent_mgl-1,cd_mgl-1,pb_mgl-1,fe_mgl-1,klorin_mgl-1,koliform_total_sel100m-1
4,2015,Pantai Medewi,Jembrana,14.51,30.3,17,53.5,8.63,28.8,6.97,1.35,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
2,2015,Nusa Dua,Badung,2.07,30.5,3,33.8,8.53,33.4,6.66,0.91,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
6,2015,Padang bai,Karangasem,1.58,30.7,3,26.4,8.62,33.6,7.75,1.09,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
4,2015,Pengambengan,Jembrana,34.1,31.5,7,33.1,8.46,33.8,6.52,4.31,11,,0.06,,,<0.001,,,<0.0001,,,<0.01,40
4,2015,Pantai Perancak,Jembrana,10.94,32.2,13,34.2,8.57,34.1,6.65,2.12,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,70
8,2015,Pantai Purnama,Gianyar,9.17,29.4,11,33.69,8.48,33.7,7.21,1.01,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,200
5,2015,Pantai sangsit,Buleleng,2.42,30.5,4,34.2,8.59,25.4,6.98,1.86,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,40
1,2015,Pantai Sanur,Denpasar,1.48,30.4,3,32.4,8.66,32.7,6.78,1.03,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,200
2,2015,Pantai seminyak,Badung,1.51,31.4,3,32.4,8.12,33.9,6.86,0.65,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,30
3,2015,Pantai Soka,Tabanan,6.88,29.4,9,32.1,8.69,33.8,7.64,2.77,8,,<0.05,,,<0.001,,,<0.0001,,,<0.01,30
3,2015,Tanah Lot,Tabanan,3.35,31.2,5,33.5,8.63,33.9,6.98,0.79,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,110
2,2015,Tanjung Benoa,Badung,3.02,32.5,6,28.4,8.53,32,6.06,6.18,14,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
6,2015,Pantai Tulamben,Karangasem,3.27,28.3,4,33.6,8.63,32,9.56,0.97,7,,<0.05,,,<0.001,,,<0.0001,,,<0.01,200
6,2015,Pantai Ujung,Karangasem,6.89,30.9,8,33.6,8.6,32,9.56,0.66,6,,<0.05,,,<0.001,,,<0.0001,,,<0.01,90
