provinces,species,year,ton
Nusa Tenggara Barat,Layur,2000,1235
Nusa Tenggara Timur,Manyung,2000,310
Nusa Tenggara Timur,Kuwe,2000,446
Nusa Tenggara Timur,Layang,2000,3685
Nusa Tenggara Timur,Golok-golok,2000,779
Nusa Tenggara Timur,Beloso/Buntut kerbo,2000,13
Nusa Tenggara Timur,Ikan lidah,2000,6
Nusa Tenggara Timur,Ikan terbang,2000,1772
Nusa Tenggara Timur,Kakap merah/Bambangan,2000,1619
Nusa Tenggara Timur,Kuniran,2000,
Nusa Tenggara Timur,Kurisi,2000,106
Nusa Tenggara Timur,Swanggi/Mata besar,2000,191
Nusa Tenggara Timur,Gulamah/Tigawaja,2000,79
Nusa Tenggara Timur,Kembung,2000,3588
Nusa Tenggara Timur,Banyar,2000,
Nusa Tenggara Timur,Kerapu karang,2000,1378
Nusa Tenggara Timur,Kerapu bebek,2000,
Nusa Tenggara Timur,Kerapu balong,2000,
Nusa Tenggara Timur,Kerapu lumpur,2000,
Nusa Tenggara Timur,Kerapu sunu,2000,
Nusa Tenggara Timur,Layur,2000,643
Bali,Manyung,2010,44
Bali,Kuwe,2010,18
Bali,Layang,2010,2691
Bali,Golok-golok,2010,
Bali,Beloso/Buntut kerbo,2010,
Bali,Ikan lidah,2010,
Bali,Ikan terbang,2010,443
Bali,Kakap merah/Bambangan,2010,145
Bali,Kuniran,2010,
Bali,Kurisi,2010,629
Bali,Swanggi/Mata besar,2010,44
Bali,Gulamah/Tigawaja,2010,
Bali,Kembung,2010,1492
Bali,Banyar,2010,2
Bali,Kerapu karang,2010,869
Bali,Kerapu bebek,2010,
Bali,Kerapu balong,2010,
Bali,Kerapu lumpur,2010,
Bali,Kerapu sunu,2010,
Bali,Layur,2010,723
Nusa Tenggara Barat,Manyung,2010,113
Nusa Tenggara Barat,Kuwe,2010,2385
Nusa Tenggara Barat,Layang,2010,8942
Nusa Tenggara Barat,Golok-golok,2010,91
Nusa Tenggara Barat,Beloso/Buntut kerbo,2010,480
Nusa Tenggara Barat,Ikan lidah,2010,19
Nusa Tenggara Barat,Ikan terbang,2010,524
Nusa Tenggara Barat,Kakap merah/Bambangan,2010,4091
Nusa Tenggara Barat,Kuniran,2010,233
Nusa Tenggara Barat,Kurisi,2010,2066
Nusa Tenggara Barat,Swanggi/Mata besar,2010,113
Nusa Tenggara Barat,Gulamah/Tigawaja,2010,314
Nusa Tenggara Barat,Kembung,2010,8466
Nusa Tenggara Barat,Banyar,2010,247
Nusa Tenggara Barat,Kerapu karang,2010,4143
Nusa Tenggara Barat,Kerapu bebek,2010,95
Nusa Tenggara Barat,Kerapu balong,2010,63
Nusa Tenggara Barat,Kerapu lumpur,2010,100
Nusa Tenggara Barat,Kerapu sunu,2010,392
Nusa Tenggara Barat,Layur,2010,963
Nusa Tenggara Timur,Manyung,2010,
Nusa Tenggara Timur,Kuwe,2010,1104
Nusa Tenggara Timur,Layang,2010,5428
Nusa Tenggara Timur,Golok-golok,2010,24
Nusa Tenggara Timur,Beloso/Buntut kerbo,2010,1
Nusa Tenggara Timur,Ikan lidah,2010,
Nusa Tenggara Timur,Ikan terbang,2010,991
Nusa Tenggara Timur,Kakap merah/Bambangan,2010,3423
Nusa Tenggara Timur,Kuniran,2010,
Nusa Tenggara Timur,Kurisi,2010,1263
Nusa Tenggara Timur,Swanggi/Mata besar,2010,139
Nusa Tenggara Timur,Gulamah/Tigawaja,2010,22
Nusa Tenggara Timur,Kembung,2010,5142
Nusa Tenggara Timur,Banyar,2010,28
Nusa Tenggara Timur,Kerapu karang,2010,2822
Nusa Tenggara Timur,Kerapu bebek,2010,132
Nusa Tenggara Timur,Kerapu balong,2010,582
Nusa Tenggara Timur,Kerapu lumpur,2010,257
Nusa Tenggara Timur,Kerapu sunu,2010,1014
Nusa Tenggara Timur,Layur,2010,1689
Bali,Manyung,2011,602
Bali,Kuwe,2011,140
Bali,Layang,2011,7080
Bali,Golok-golok,2011,0
Bali,Beloso/Buntut kerbo,2011,0
Bali,Ikan lidah,2011,0
Bali,Ikan terbang,2011,629
Bali,Kakap merah/Bambangan,2011,95
Bali,Kuniran,2011,0
Bali,Kurisi,2011,478
Bali,Swanggi/Mata besar,2011,9
Bali,Gulamah/Tigawaja,2011,0
Bali,Kembung,2011,608
Bali,Banyar,2011,116
Bali,Kerapu karang,2011,671
Bali,Kerapu bebek,2011,0
Bali,Kerapu balong,2011,0
Bali,Kerapu lumpur,2011,0
Bali,Kerapu sunu,2011,1
Bali,Layur,2011,452
Nusa Tenggara Barat,Manyung,2011,86
Nusa Tenggara Barat,Kuwe,2011,2293
Nusa Tenggara Barat,Layang,2011,8292
Nusa Tenggara Barat,Golok-golok,2011,104
Nusa Tenggara Barat,Beloso/Buntut kerbo,2011,595
Nusa Tenggara Barat,Ikan lidah,2011,0
Nusa Tenggara Barat,Ikan terbang,2011,597
Nusa Tenggara Barat,Kakap merah/Bambangan,2011,3649
Nusa Tenggara Barat,Kuniran,2011,344
Nusa Tenggara Barat,Kurisi,2011,2065
Nusa Tenggara Barat,Swanggi/Mata besar,2011,96
Nusa Tenggara Barat,Gulamah/Tigawaja,2011,381
Nusa Tenggara Barat,Kembung,2011,6955
Nusa Tenggara Barat,Banyar,2011,234
Nusa Tenggara Barat,Kerapu karang,2011,4438
Nusa Tenggara Barat,Kerapu bebek,2011,207
Nusa Tenggara Barat,Kerapu balong,2011,21
Nusa Tenggara Barat,Kerapu lumpur,2011,142
Nusa Tenggara Barat,Kerapu sunu,2011,366
Nusa Tenggara Barat,Layur,2011,1294
Nusa Tenggara Timur,Manyung,2011,1
Nusa Tenggara Timur,Kuwe,2011,1527
Nusa Tenggara Timur,Layang,2011,6200
Nusa Tenggara Timur,Golok-golok,2011,164
Nusa Tenggara Timur,Beloso/Buntut kerbo,2011,0
Nusa Tenggara Timur,Ikan lidah,2011,0
Nusa Tenggara Timur,Ikan terbang,2011,1616
Nusa Tenggara Timur,Kakap merah/Bambangan,2011,3118
Nusa Tenggara Timur,Kuniran,2011,0
Nusa Tenggara Timur,Kurisi,2011,1601
Nusa Tenggara Timur,Swanggi/Mata besar,2011,245
Nusa Tenggara Timur,Gulamah/Tigawaja,2011,10
Nusa Tenggara Timur,Kembung,2011,4319
Nusa Tenggara Timur,Banyar,2011,22
Nusa Tenggara Timur,Kerapu karang,2011,2733
Nusa Tenggara Timur,Kerapu bebek,2011,192
Nusa Tenggara Timur,Kerapu balong,2011,532
Nusa Tenggara Timur,Kerapu lumpur,2011,74
Nusa Tenggara Timur,Kerapu sunu,2011,867
Nusa Tenggara Timur,Layur,2011,1880
Bali,Manyung,2012,48
Bali,Kuwe,2012,65
Bali,Layang,2012,4734
Bali,Golok-golok,2012,0
Bali,Beloso/Buntut kerbo,2012,0
Bali,Ikan lidah,2012,0
Bali,Ikan terbang,2012,625
Bali,Kakap merah/Bambangan,2012,259
Bali,Kuniran,2012,2
Bali,Kurisi,2012,245
Bali,Swanggi/Mata besar,2012,6
Bali,Gulamah/Tigawaja,2012,6
Bali,Kembung,2012,1096
Bali,Banyar,2012,32
Bali,Kerapu karang,2012,668
Bali,Kerapu bebek,2012,0
Bali,Kerapu balong,2012,0
Bali,Kerapu lumpur,2012,0
Bali,Kerapu sunu,2012,0
Bali,Layur,2012,226
Nusa Tenggara Barat,Manyung,2012,115
Nusa Tenggara Barat,Kuwe,2012,1880
Nusa Tenggara Barat,Layang,2012,8447
Nusa Tenggara Barat,Golok-golok,2012,70
Nusa Tenggara Barat,Beloso/Buntut kerbo,2012,549
Nusa Tenggara Barat,Ikan lidah,2012,0
Nusa Tenggara Barat,Ikan terbang,2012,825
Nusa Tenggara Barat,Kakap merah/Bambangan,2012,3334
Nusa Tenggara Barat,Kuniran,2012,578
Nusa Tenggara Barat,Kurisi,2012,1630
Nusa Tenggara Barat,Swanggi/Mata besar,2012,117
Nusa Tenggara Barat,Gulamah/Tigawaja,2012,255
Nusa Tenggara Barat,Kembung,2012,7496
Nusa Tenggara Barat,Banyar,2012,293
Nusa Tenggara Barat,Kerapu karang,2012,3322
Nusa Tenggara Barat,Kerapu bebek,2012,134
Nusa Tenggara Barat,Kerapu balong,2012,28
Nusa Tenggara Barat,Kerapu lumpur,2012,197
Nusa Tenggara Barat,Kerapu sunu,2012,398
Nusa Tenggara Barat,Layur,2012,1462
Nusa Tenggara Timur,Manyung,2012,21
Nusa Tenggara Timur,Kuwe,2012,1103
Nusa Tenggara Timur,Layang,2012,4410
Nusa Tenggara Timur,Golok-golok,2012,62
Nusa Tenggara Timur,Beloso/Buntut kerbo,2012,0
Nusa Tenggara Timur,Ikan lidah,2012,2
Nusa Tenggara Timur,Ikan terbang,2012,990
Nusa Tenggara Timur,Kakap merah/Bambangan,2012,2466
Nusa Tenggara Timur,Kuniran,2012,0
Nusa Tenggara Timur,Kurisi,2012,1010
Nusa Tenggara Timur,Swanggi/Mata besar,2012,55
Nusa Tenggara Timur,Gulamah/Tigawaja,2012,1
Nusa Tenggara Timur,Kembung,2012,3355
Nusa Tenggara Timur,Banyar,2012,14
Nusa Tenggara Timur,Kerapu karang,2012,2435
Nusa Tenggara Timur,Kerapu bebek,2012,190
Nusa Tenggara Timur,Kerapu balong,2012,286
Nusa Tenggara Timur,Kerapu lumpur,2012,136
Nusa Tenggara Timur,Kerapu sunu,2012,1004
Nusa Tenggara Timur,Layur,2012,387
