region,species,iucn,references
bali,stylocoeniella guentheri,LC,turak and devantier (2011)
bali,palauastrea ramosa,NT,turak and devantier (2011)
bali,madracis kirbyi,LC,turak and devantier (2011)
bali,pocillopora ankeli,VU,turak and devantier (2011)
bali,pocillopora damicornis,LC,turak and devantier (2011)
bali,pocillopora danae,VU,turak and devantier (2011)
bali,pocillopora elegans,VU,turak and devantier (2011)
bali,pocillopora eydouxi,NT,turak and devantier (2011)
bali,pocillopora kelleheri,LC,turak and devantier (2011)
bali,pocillopora meandrina,LC,turak and devantier (2011)
bali,pocillopora verrucosa,LC,turak and devantier (2011)
bali,montipora aequituberculata,LC,turak and devantier (2011)
bali,montipora altasepta,VU,turak and devantier (2011)
bali,montipora angulata,VU,turak and devantier (2011)
bali,montipora calcarea,VU,turak and devantier (2011)
bali,acropora acuminata,VU,turak and devantier (2011)
denpasar,chelonia mydas,EN,ario et al (2016)
denpasar,eretmochelys imbricata,CR,ario et al (2016)
denpasar,lepidochelys olivacea,VU,ario et al (2016)
klungkung,antennarius maculatus,NE,Prihadi (2015)
klungkung,mola ramsayi,NE,herwata et al (2015)
denpasar,uca demani,NE,Siti (2016)
badung,scylla serrata,NE,suryani et al (2018)
denpasar,uca perplexa,NE,indraswari et al (2018)
denpasar,uca forcipata,NE,indraswari et al (2018)
denpasar,uca rosea,NE,indraswari et al (2018)
denpasar,uca dussumieri,NE,indraswari et al (2018)
denpasar,uca triangularis,NE,indraswari et al (2018)
denpasar,uca jocelynae,NE,indraswari et al (2018)
denpasar,ocypode stimpsoni,NE,indraswari et al (2018)
denpasar,scylla serrata,NE,indraswari et al (2018)
denpasar,grapsus albolineatus,NE,indraswari et al (2018)
denpasar,myomenippe fornasinii,NE,indraswari et al (2018)
denpasar,enhalus acoroides,LC,Arthana (2004)
denpasar,cymodocea rotundata,LC,Arthana (2004)
denpasar,cymodocea serrulata,LC,Arthana (2004)
denpasar,halophila ovalis,LC,Arthana (2004)
denpasar,halodule uninervis,LC,Arthana (2004)
denpasar,halodule pinifolia,LC,Arthana (2004)
denpasar,syringodium isoetifolium,LC,Arthana (2004)
denpasar,thalassia hemprichii,LC,pharmawati et al (2016)
denpasar,thalassodendron ciliatum,LC,pharmawati et al (2016)
badung,enhalus acoroides,LC,Arthana (2004)
badung,halophila ovalis,LC,Arthana (2004)
badung,syringodium isoetifolium,LC,Arthana (2004)
badung,halodule uninervis,LC,Arthana (2004)
badung,cymodocea rotundata,LC,Arthana (2004)
badung,thalassia hemprichii,LC,Faiqoh et al (2017)
badung,halodule pinifolia,LC,Faiqoh et al (2017)
bali,nautilus pompilius ,NE,Nijman et al (2015)
bali,cassis cornuta,NE,Nijman et al (2015)
bali,charonia tritonis,NE,Nijman et al (2015)
klungkung,mola mola,VU,ruchimat et al (2013)
karangasem,pomacentrus molluccensis,NE,dhananjaya et al (2017)
karangasem,chromis margaritiier,NE,dhananjaya et al (2017)
karangasem,pomacentrus auriventris,NE,dhananjaya et al (2017)
karangasem,abudefduf vaigiensis,LC,dhananjaya et al (2017)
karangasem,amblyglyphidodon leucogaster,LC,dhananjaya et al (2017)
karangasem,labroides dimidiatus,LC,dhananjaya et al (2017)
karangasem,halichoeres vrolikii,LC,dhananjaya et al (2017)
karangasem,thalassoma hardwicke,LC,dhananjaya et al (2017)
karangasem,pseudocheilinus hexataenia,LC,dhananjaya et al (2017)
bali,carcharhinus melanopterus,NT,handayani et al (2018)
bali,triaenodon obesus,NT,handayani et al (2018)
bali,atelomycterus marmoratus,NT,handayani et al (2018)
bali,chiloscyllium plagiosum,NT,handayani et al (2018)
bali,orectolobus maculatus,LC,handayani et al (2018)
bali,halaelurus macolosus,LC,handayani et al (2018)
bali,sphyrna leweni,NE,Imanuel etal (2018)
bali,alopias superciliosus,VU,Imanuel etal (2018)
badung,aplysia juliana,NE,Prabawa (2017)
badung,hydatina physis,NE,Prabawa (2017)
badung,babylonia borneensis,NE,Prabawa (2017)
badung,pisania ignea,NE,Prabawa (2017)
badung,conus coronatus,LC,Prabawa (2017)
badung,planaxis sulcatus,NE,Prabawa (2017)
badung,pinna muricata,NE,Prabawa (2017)
badung,echinaster luzonicus,NE,Prabawa (2017)
badung,diadema setosum,NE,Prabawa (2017)
badung,ophiarachna incrassata,NE,Prabawa (2017)
badung,ophiura texturata,NE,Prabawa (2017)
badung,echinometra mathaei,NE,Prabawa (2017)
badung,echinotrix calamaris,NE,Prabawa (2017)
buleleng,himantura undulata,VU,arlyza et al (2013)
klungkung,chelonia mydas,EN,mustika and ratha (2011)
denpasar,chelonia mydas,EN,mustika and ratha (2011)
buleleng,eretmochelys imbricata,CR,mustika and ratha (2011)
gianyar,eretmochelys imbricata,CR,mustika and ratha (2011)
karangasem,eretmochelys imbricata,CR,mustika and ratha (2011)
klungkung,eretmochelys imbricata,CR,mustika and ratha (2011)
badung,lepidochelys olivacea,VU,mustika and ratha (2011)
klungkung,lepidochelys olivacea,VU,mustika and ratha (2011)
buleleng,lepidochelys olivacea,VU,mustika and ratha (2011)
jembrana,lepidochelys olivacea,VU,mustika and ratha (2011)
gianyar,lepidochelys olivacea,VU,mustika and ratha (2011)
denpasar,lepidochelys olivacea,VU,mustika and ratha (2011)
tabanan,lepidochelys olivacea,VU,mustika and ratha (2011)
jembrana,dermochelys coriacea,CR,mustika and ratha (2011)
badung,stenella longirostris,DD,mustika and ratha (2011)
buleleng,stenella longirostris,DD,mustika and ratha (2011)
badung,stenella attenuata,LC,mustika and ratha (2011)
buleleng,stenella attenuata,LC,mustika and ratha (2011)
badung,grampus griseus,LC,mustika and ratha (2011)
buleleng,grampus griseus,LC,mustika and ratha (2011)
badung,lagenodelphis hoseu,LC,mustika and ratha (2011)
buleleng,globicephala macrorhyncus,DD,mustika and ratha (2011)
denpasar,globicephala macrorhyncus,DD,mustika and ratha (2011)
klungkung,pseudorca crassidens,DD,mustika and ratha (2011)
badung,pseudorca crassidens,DD,mustika and ratha (2011)
badung,feresa attenuata,DD,mustika and ratha (2011)
denpasar,feresa attenuata,DD,mustika and ratha (2011)
badung,steno bredanensis,DD,mustika and ratha (2011)
badung,physeter macrochepalus,VU,mustika and ratha (2011)
jembrana,physeter macrochepalus,VU,mustika and ratha (2011)
klungkung,physeter macrochepalus,VU,mustika and ratha (2011)
tabanan,megaptera novaeanglie,LC,mustika and ratha (2011)
badung,dugong dugon,VU,mustika and ratha (2011)
klungkung,dugong dugon,VU,mustika and ratha (2011)
gianyar,enhalus acoroides,LC,Graha (2015) & Eloq (2017)
tabanan,enhalus acoroides,LC,Graha (2015) & Eloq (2017)
jembrana,enhalus acoroides,LC,Graha (2015) & Eloq (2017)
buleleng,enhalus acoroides,LC,Graha (2015) & Eloq (2017)
klungkung,enhalus acoroides,LC,Graha (2015) & Eloq (2017)
karangasem,enhalus acoroides,LC,Graha (2015) & Eloq (2017)
gianyar,thalassia hemprichii,LC,Graha (2015) & Eloq (2017)
tabanan,thalassia hemprichii,LC,Graha (2015) & Eloq (2017)
jembrana,thalassia hemprichii,LC,Graha (2015) & Eloq (2017)
buleleng,thalassia hemprichii,LC,Graha (2015) & Eloq (2017)
klungkung,thalassia hemprichii,LC,Graha (2015) & Eloq (2017)
karangasem,thalassia hemprichii,LC,Graha (2015) & Eloq (2017)
gianyar,syringodium isoetifolium,LC,Graha (2015) & Eloq (2017)
tabanan,syringodium isoetifolium,LC,Graha (2015) & Eloq (2017)
jembrana,syringodium isoetifolium,LC,Graha (2015) & Eloq (2017)
buleleng,syringodium isoetifolium,LC,Graha (2015) & Eloq (2017)
klungkung,syringodium isoetifolium,LC,Graha (2015) & Eloq (2017)
karangasem,syringodium isoetifolium,LC,Graha (2015) & Eloq (2017)
gianyar,cymodocea rotundata,LC,Graha (2015) & Eloq (2017)
tabanan,cymodocea rotundata,LC,Graha (2015) & Eloq (2017)
jembrana,cymodocea rotundata,LC,Graha (2015) & Eloq (2017)
buleleng,cymodocea rotundata,LC,Graha (2015) & Eloq (2017)
klungkung,cymodocea rotundata,LC,Graha (2015) & Eloq (2017)
karangasem,cymodocea rotundata,LC,Graha (2015) & Eloq (2017)
gianyar,halophila ovalis,LC,Graha (2015) & Eloq (2017)
tabanan,halophila ovalis,LC,Graha (2015) & Eloq (2017)
jembrana,halophila ovalis,LC,Graha (2015) & Eloq (2017)
buleleng,halophila ovalis,LC,Graha (2015) & Eloq (2017)
klungkung,halophila ovalis,LC,Graha (2015) & Eloq (2017)
karangasem,halophila ovalis,LC,Graha (2015) & Eloq (2017)
gianyar,halodule uninervis,LC,Graha (2015) & Eloq (2017)
tabanan,halodule uninervis,LC,Graha (2015) & Eloq (2017)
jembrana,halodule uninervis,LC,Graha (2015) & Eloq (2017)
buleleng,halodule uninervis,LC,Graha (2015) & Eloq (2017)
klungkung,halodule uninervis,LC,Graha (2015) & Eloq (2017)
karangasem,halodule uninervis,LC,Graha (2015) & Eloq (2017)
badung,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
gianyar,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
tabanan,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
jembrana,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
buleleng,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
klungkung,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
karangasem,cymodocea serrulata,LC,Graha (2015) & Eloq (2017)
gianyar,halodule pinifolia,LC,Graha (2015) & Eloq (2017)
tabanan,halodule pinifolia,LC,Graha (2015) & Eloq (2017)
jembrana,halodule pinifolia,LC,Graha (2015) & Eloq (2017)
buleleng,halodule pinifolia,LC,Graha (2015) & Eloq (2017)
klungkung,halodule pinifolia,LC,Graha (2015) & Eloq (2017)
karangasem,halodule pinifolia,LC,Graha (2015) & Eloq (2017)
