region;species;iucn;references;id
klungkung;manta birostris;VU;allen and erdmann (2011);5
klungkung;moringua microchir;NE;allen and erdmann (2011);5
klungkung;kaupichthys diodontus;NE;allen and erdmann (2011);5
klungkung;echidna nebulosa;NE;allen and erdmann (2011);5
karangasem;echidna nebulosa;NE;allen and erdmann (2011);7
buleleng;echidna nebulosa;NE;allen and erdmann (2011);8
karangasem;gymnothorax angusticauda;NE;allen and erdmann (2011);7
buleleng;gymnothorax angusticauda;NE;allen and erdmann (2011);8
klungkung;gymnothorax chilospilus;NE;allen and erdmann (2011);5
klungkung;gymnothorax fimbriatus;NE;allen and erdmann (2011);5
karangasem;gymnothorax fimbriatus;NE;allen and erdmann (2011);7
buleleng;gymnothorax fimbriatus;NE;allen and erdmann (2011);8
karangasem;gymnothorax javanicus;NE;allen and erdmann (2011);7
buleleng;gymnothorax javanicus;NE;allen and erdmann (2011);8
klungkung;plotosus lineatus;NE;allen and erdmann (2011);5
karangasem;plotosus lineatus;NE;allen and erdmann (2011);7
buleleng;plotosus lineatus;NE;allen and erdmann (2011);8
jembrana;plotosus lineatus;NE;allen and erdmann (2011);1
jembrana;eurypegasus draconis;LC;allen and erdmann (2011);1
jembrana;pegasus volitans;DD;allen and erdmann (2011);1
klungkung;aulostomus chinensis;LC;allen and erdmann (2011);5
karangasem;aulostomus chinensis;LC;allen and erdmann (2011);7
buleleng;aulostomus chinensis;LC;allen and erdmann (2011);8
klungkung;fistularia commersonii;LC;allen and erdmann (2011);5
karangasem;fistularia commersonii;LC;allen and erdmann (2011);7
buleleng;fistularia commersonii;LC;allen and erdmann (2011);8
karangasem;aeoliscus strigatus;DD;allen and erdmann (2011);7
buleleng;aeoliscus strigatus;DD;allen and erdmann (2011);8
jembrana;aeoliscus strigatus;DD;allen and erdmann (2011);1
jembrana;centriscus cristatus;DD;allen and erdmann (2011);1
denpasar;rhizophora mucronata;LC;wiyanto dan faiqoh (2015);9
badung;rhizophora mucronata;LC;wiyanto dan faiqoh (2015);3
denpasar;rhizophora apiculata;LC;wiyanto dan faiqoh (2015);9
badung;rhizophora apiculata;LC;wiyanto dan faiqoh (2015);3
denpasar;sonneratia alba;LC;wiyanto dan faiqoh (2015);9
badung;sonneratia alba;LC;wiyanto dan faiqoh (2015);3
denpasar;rhizophora stylosa;LC;wiyanto dan faiqoh (2015);9
badung;rhizophora stylosa;LC;wiyanto dan faiqoh (2015);3
denpasar;avicennia marina;LC;wiyanto dan faiqoh (2015);9
badung;avicennia marina;LC;wiyanto dan faiqoh (2015);3
denpasar;bruguiera gymnorrhyza;NE;wiyanto dan faiqoh (2015);9
badung;bruguiera gymnorrhyza;NE;wiyanto dan faiqoh (2015);3
denpasar;Xylocarpus granatum;LC;wiyanto dan faiqoh (2015);9
badung;Xylocarpus granatum;LC;wiyanto dan faiqoh (2015);3
denpasar;sonneratia caseolaris;LC;wiyanto dan faiqoh (2015);9
badung;sonneratia caseolaris;LC;wiyanto dan faiqoh (2015);3
denpasar;avicennia officinalis;LC;wiyanto dan faiqoh (2015);9
badung;avicennia officinalis;LC;wiyanto dan faiqoh (2015);3
badung;turritella cochlea;NE;faiqoh et al (2016);3
badung;cyprae kieneri;NE;faiqoh et al (2016);3
klungkung;acropora yongei;LC;turak and devantier (2011);5
klungkung;acropora sukarnoi;LC;turak and devantier (2011);5
klungkung;goniopora tenuidens;LC;turak and devantier (2011);5
bali;stylocoeniella armata;LC;turak and devantier (2011);0
bali;stylocoeniella guentheri;LC;turak and devantier (2011);0
bali;palauastrea ramosa;NT;turak and devantier (2011);0
bali;madracis kirbyi;LC;turak and devantier (2011);0
bali;pocillopora ankeli;VU;turak and devantier (2011);0
bali;pocillopora damicornis;LC;turak and devantier (2011);0
bali;pocillopora danae;VU;turak and devantier (2011);0
bali;pocillopora elegans;VU;turak and devantier (2011);0
bali;pocillopora eydouxi;NT;turak and devantier (2011);0
bali;pocillopora kelleheri;LC;turak and devantier (2011);0
bali;pocillopora meandrina;LC;turak and devantier (2011);0
bali;pocillopora verrucosa;LC;turak and devantier (2011);0
bali;montipora aequituberculata;LC;turak and devantier (2011);0
bali;montipora altasepta;VU;turak and devantier (2011);0
bali;montipora angulata;VU;turak and devantier (2011);0
bali;montipora calcarea;VU;turak and devantier (2011);0
bali;acropora acuminata;VU;turak and devantier (2011);0
denpasar;chelonia mydas;EN;ario et al (2016);9
denpasar;eretmochelys imbricata;CR;ario et al (2016);9
denpasar;lepidochelys olivacea;VU;ario et al (2016);9
klungkung;antennarius maculatus;NE;Prihadi (2015);5
klungkung;mola ramsayi;NE;herwata et al (2015);5
denpasar;uca demani;NE;Siti (2016);9
badung;scylla serrata;NE;suryani et al (2018);3
denpasar;uca perplexa;NE;indraswari et al (2018);9
denpasar;uca forcipata;NE;indraswari et al (2018);9
denpasar;uca rosea;NE;indraswari et al (2018);9
denpasar;uca dussumieri;NE;indraswari et al (2018);9
denpasar;uca triangularis;NE;indraswari et al (2018);9
denpasar;uca jocelynae;NE;indraswari et al (2018);9
denpasar;ocypode stimpsoni;NE;indraswari et al (2018);9
denpasar;scylla serrata;NE;indraswari et al (2018);9
denpasar;grapsus albolineatus;NE;indraswari et al (2018);9
denpasar;myomenippe fornasinii;NE;indraswari et al (2018);9
denpasar;enhalus acoroides;LC;Arthana (2004);9
denpasar;cymodocea rotundata;LC;Arthana (2004);9
denpasar;cymodocea serrulata;LC;Arthana (2004);9
denpasar;halophila ovalis;LC;Arthana (2004);9
denpasar;halodule uninervis;LC;Arthana (2004);9
denpasar;halodule pinifolia;LC;Arthana (2004);9
denpasar;syringodium isoetifolium;LC;Arthana (2004);9
denpasar;thalassia hemprichii;LC;pharmawati et al (2016);9
denpasar;thalassodendron ciliatum;LC;pharmawati et al (2016);9
badung;enhalus acoroides;LC;Arthana (2004);3
badung;halophila ovalis;LC;Arthana (2004);3
badung;syringodium isoetifolium;LC;Arthana (2004);3
badung;halodule uninervis;LC;Arthana (2004);3
badung;cymodocea rotundata;LC;Arthana (2004);3
badung;thalassia hemprichii;LC;Faiqoh et al (2017);3
badung;halodule pinifolia;LC;Faiqoh et al (2017);3
bali;nautilus pompilius ;NE;Nijman et al (2015);0
bali;cassis cornuta;NE;Nijman et al (2015);0
bali;charonia tritonis;NE;Nijman et al (2015);0
klungkung;mola mola;VU;ruchimat et al (2013);5
karangasem;pomacentrus molluccensis;NE;dhananjaya et al (2017);7
karangasem;chromis margaritiier;NE;dhananjaya et al (2017);7
karangasem;pomacentrus auriventris;NE;dhananjaya et al (2017);7
karangasem;abudefduf vaigiensis;LC;dhananjaya et al (2017);7
karangasem;amblyglyphidodon leucogaster;LC;dhananjaya et al (2017);7
karangasem;labroides dimidiatus;LC;dhananjaya et al (2017);7
karangasem;halichoeres vrolikii;LC;dhananjaya et al (2017);7
karangasem;thalassoma hardwicke;LC;dhananjaya et al (2017);7
karangasem;pseudocheilinus hexataenia;LC;dhananjaya et al (2017);7
bali;carcharhinus melanopterus;NT;handayani et al (2018);0
bali;triaenodon obesus;NT;handayani et al (2018);0
bali;atelomycterus marmoratus;NT;handayani et al (2018);0
bali;chiloscyllium plagiosum;NT;handayani et al (2018);0
bali;orectolobus maculatus;LC;handayani et al (2018);0
bali;halaelurus macolosus;LC;handayani et al (2018);0
bali;sphyrna leweni;NE;Imanuel etal (2018);0
bali;alopias superciliosus;VU;Imanuel etal (2018);0
badung;aplysia juliana;NE;Prabawa (2017);3
badung;hydatina physis;NE;Prabawa (2017);3
badung;babylonia borneensis;NE;Prabawa (2017);3
badung;pisania ignea;NE;Prabawa (2017);3
badung;conus coronatus;LC;Prabawa (2017);3
badung;planaxis sulcatus;NE;Prabawa (2017);3
badung;pinna muricata;NE;Prabawa (2017);3
badung;echinaster luzonicus;NE;Prabawa (2017);3
badung;diadema setosum;NE;Prabawa (2017);3
badung;ophiarachna incrassata;NE;Prabawa (2017);3
badung;ophiura texturata;NE;Prabawa (2017);3
badung;echinometra mathaei;NE;Prabawa (2017);3
badung;echinotrix calamaris;NE;Prabawa (2017);3
buleleng;himantura undulata;VU;arlyza et al (2013);8
klungkung;chelonia mydas;EN;mustika and ratha (2011);5
denpasar;chelonia mydas;EN;mustika and ratha (2011);9
buleleng;eretmochelys imbricata;CR;mustika and ratha (2011);8
gianyar;eretmochelys imbricata;CR;mustika and ratha (2011);4
karangasem;eretmochelys imbricata;CR;mustika and ratha (2011);7
klungkung;eretmochelys imbricata;CR;mustika and ratha (2011);5
badung;lepidochelys olivacea;VU;mustika and ratha (2011);3
klungkung;lepidochelys olivacea;VU;mustika and ratha (2011);5
buleleng;lepidochelys olivacea;VU;mustika and ratha (2011);8
jembrana;lepidochelys olivacea;VU;mustika and ratha (2011);1
gianyar;lepidochelys olivacea;VU;mustika and ratha (2011);4
denpasar;lepidochelys olivacea;VU;mustika and ratha (2011);9
tabanan;lepidochelys olivacea;VU;mustika and ratha (2011);2
jembrana;dermochelys coriacea;CR;mustika and ratha (2011);1
badung;stenella longirostris;DD;mustika and ratha (2011);3
buleleng;stenella longirostris;DD;mustika and ratha (2011);8
badung;stenella attenuata;LC;mustika and ratha (2011);3
buleleng;stenella attenuata;LC;mustika and ratha (2011);8
badung;grampus griseus;LC;mustika and ratha (2011);3
buleleng;grampus griseus;LC;mustika and ratha (2011);8
badung;lagenodelphis hoseu;LC;mustika and ratha (2011);3
buleleng;globicephala macrorhyncus;DD;mustika and ratha (2011);8
denpasar;globicephala macrorhyncus;DD;mustika and ratha (2011);9
klungkung;pseudorca crassidens;DD;mustika and ratha (2011);5
badung;pseudorca crassidens;DD;mustika and ratha (2011);3
badung;feresa attenuata;DD;mustika and ratha (2011);3
denpasar;feresa attenuata;DD;mustika and ratha (2011);9
badung;steno bredanensis;DD;mustika and ratha (2011);3
badung;physeter macrochepalus;VU;mustika and ratha (2011);3
jembrana;physeter macrochepalus;VU;mustika and ratha (2011);1
klungkung;physeter macrochepalus;VU;mustika and ratha (2011);5
tabanan;megaptera novaeanglie;LC;mustika and ratha (2011);2
badung;dugong dugon;VU;mustika and ratha (2011);3
klungkung;dugong dugon;VU;mustika and ratha (2011);5
gianyar;enhalus acoroides;LC;Graha (2015) & Eloq (2017);4
tabanan;enhalus acoroides;LC;Graha (2015) & Eloq (2017);2
jembrana;enhalus acoroides;LC;Graha (2015) & Eloq (2017);1
buleleng;enhalus acoroides;LC;Graha (2015) & Eloq (2017);8
klungkung;enhalus acoroides;LC;Graha (2015) & Eloq (2017);5
karangasem;enhalus acoroides;LC;Graha (2015) & Eloq (2017);7
gianyar;thalassia hemprichii;LC;Graha (2015) & Eloq (2017);4
tabanan;thalassia hemprichii;LC;Graha (2015) & Eloq (2017);2
jembrana;thalassia hemprichii;LC;Graha (2015) & Eloq (2017);1
buleleng;thalassia hemprichii;LC;Graha (2015) & Eloq (2017);8
klungkung;thalassia hemprichii;LC;Graha (2015) & Eloq (2017);5
karangasem;thalassia hemprichii;LC;Graha (2015) & Eloq (2017);7
gianyar;syringodium isoetifolium;LC;Graha (2015) & Eloq (2017);4
tabanan;syringodium isoetifolium;LC;Graha (2015) & Eloq (2017);2
jembrana;syringodium isoetifolium;LC;Graha (2015) & Eloq (2017);1
buleleng;syringodium isoetifolium;LC;Graha (2015) & Eloq (2017);8
klungkung;syringodium isoetifolium;LC;Graha (2015) & Eloq (2017);5
karangasem;syringodium isoetifolium;LC;Graha (2015) & Eloq (2017);7
gianyar;cymodocea rotundata;LC;Graha (2015) & Eloq (2017);4
tabanan;cymodocea rotundata;LC;Graha (2015) & Eloq (2017);2
jembrana;cymodocea rotundata;LC;Graha (2015) & Eloq (2017);1
buleleng;cymodocea rotundata;LC;Graha (2015) & Eloq (2017);8
klungkung;cymodocea rotundata;LC;Graha (2015) & Eloq (2017);5
karangasem;cymodocea rotundata;LC;Graha (2015) & Eloq (2017);7
gianyar;halophila ovalis;LC;Graha (2015) & Eloq (2017);4
tabanan;halophila ovalis;LC;Graha (2015) & Eloq (2017);2
jembrana;halophila ovalis;LC;Graha (2015) & Eloq (2017);1
buleleng;halophila ovalis;LC;Graha (2015) & Eloq (2017);8
klungkung;halophila ovalis;LC;Graha (2015) & Eloq (2017);5
karangasem;halophila ovalis;LC;Graha (2015) & Eloq (2017);7
gianyar;halodule uninervis;LC;Graha (2015) & Eloq (2017);4
tabanan;halodule uninervis;LC;Graha (2015) & Eloq (2017);2
jembrana;halodule uninervis;LC;Graha (2015) & Eloq (2017);1
buleleng;halodule uninervis;LC;Graha (2015) & Eloq (2017);8
klungkung;halodule uninervis;LC;Graha (2015) & Eloq (2017);5
karangasem;halodule uninervis;LC;Graha (2015) & Eloq (2017);7
badung;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);3
gianyar;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);4
tabanan;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);2
jembrana;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);1
buleleng;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);8
klungkung;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);5
karangasem;cymodocea serrulata;LC;Graha (2015) & Eloq (2017);7
gianyar;halodule pinifolia;LC;Graha (2015) & Eloq (2017);4
tabanan;halodule pinifolia;LC;Graha (2015) & Eloq (2017);2
jembrana;halodule pinifolia;LC;Graha (2015) & Eloq (2017);1
buleleng;halodule pinifolia;LC;Graha (2015) & Eloq (2017);8
klungkung;halodule pinifolia;LC;Graha (2015) & Eloq (2017);5
karangasem;halodule pinifolia;LC;Graha (2015) & Eloq (2017);7
badung;Triaenodon obesus;LC;MRAP Bali (2011);3
buleleng;Triaenodon obesus;LC;MRAP Bali (2011);8
denpasar;Dasyatis kuhlii;LC;MRAP Bali (2011);9
badung;Dasyatis kuhlii;LC;MRAP Bali (2011);3
karangasem;Dasyatis kuhlii;LC;MRAP Bali (2011);7
buleleng;Dasyatis kuhlii;LC;MRAP Bali (2011);8
denpasar;Taeniura lymma;LC;MRAP Bali (2011);9
badung;Taeniura lymma;LC;MRAP Bali (2011);3
karangasem;Taeniura lymma;LC;MRAP Bali (2011);7
buleleng;Taeniura lymma;LC;MRAP Bali (2011);8
badung;Echidna nebulosa;LC;MRAP Bali (2011);3
buleleng;Echidna nebulosa;LC;MRAP Bali (2011);8
buleleng;Gymnothorax angusticauda;LC;MRAP Bali (2011);8
badung;Gymnothorax fimbriatus;LC;MRAP Bali (2011);3
buleleng;Gymnothorax fimbriatus;LC;MRAP Bali (2011);8
jembrana;Gymnothorax fimbriatus;LC;MRAP Bali (2011);1
badung;Gymnothorax flavimarginatus;LC;MRAP Bali (2011);3
badung;Gymnothorax javanicus;LC;MRAP Bali (2011);3
buleleng;Gymnothorax javanicus;LC;MRAP Bali (2011);8
badung;Gymnothorax monochrous;LC;MRAP Bali (2011);3
buleleng;Gymnothorax thrysoideus;LC;MRAP Bali (2011);8
badung;Gymnothorax zonipectis;LC;MRAP Bali (2011);3
denpasar;Rhinomuraena quaesita;LC;MRAP Bali (2011);9
buleleng;Rhinomuraena quaesita;LC;MRAP Bali (2011);8
buleleng;Scuticara tigrina;LC;MRAP Bali (2011);8
buleleng;Brachysomophis cirrocheilos;LC;MRAP Bali (2011);8
buleleng;Myrichthys maculosus;LC;MRAP Bali (2011);8
buleleng;Ophichthus bonaparti;LC;MRAP Bali (2011);8
buleleng;Pisodonophis cancrivorus;LC;MRAP Bali (2011);8
denpasar;Scolecenchelys macroptera;LC;MRAP Bali (2011);9
buleleng;Scolecenchelys macroptera;LC;MRAP Bali (2011);8
badung;Ariosoma fasciatum;LC;MRAP Bali (2011);3
jembrana;Ariosoma fasciatum;LC;MRAP Bali (2011);1
buleleng;Gorgasia barnesi;LC;MRAP Bali (2011);8
jembrana;Gorgasia barnesi;LC;MRAP Bali (2011);1
badung;Gorgasia maculata;LC;MRAP Bali (2011);3
jembrana;Gorgasia maculata;LC;MRAP Bali (2011);1
buleleng;Heteroconger enigmaticus;LC;MRAP Bali (2011);8
jembrana;Heteroconger enigmaticus;LC;MRAP Bali (2011);1
denpasar;Heteroconger hassi;LC;MRAP Bali (2011);9
buleleng;Heteroconger hassi;LC;MRAP Bali (2011);8
jembrana;Heteroconger hassi;LC;MRAP Bali (2011);1
buleleng;Heteroconger mercyae;LC;MRAP Bali (2011);8
jembrana;Heteroconger mercyae;LC;MRAP Bali (2011);1
buleleng;Heteroconger perissodon;LC;MRAP Bali (2011);8
jembrana;Heteroconger perissodon;LC;MRAP Bali (2011);1
badung;Heteroconger polyzona;LC;MRAP Bali (2011);3
jembrana;Heteroconger polyzona;LC;MRAP Bali (2011);1
badung;Plotosus lineatus;LC;MRAP Bali (2011);3
buleleng;Plotosus lineatus;LC;MRAP Bali (2011);8
jembrana;Plotosus lineatus;LC;MRAP Bali (2011);1
buleleng;Saurida elongata;LC;MRAP Bali (2011);8
badung;Saurida nebulosa;LC;MRAP Bali (2011);3
buleleng;Saurida nebulosa;LC;MRAP Bali (2011);8
denpasar;Synodus dermatogenys;LC;MRAP Bali (2011);9
badung;Synodus dermatogenys;LC;MRAP Bali (2011);3
buleleng;Synodus dermatogenys;LC;MRAP Bali (2011);8
jembrana;Synodus dermatogenys;LC;MRAP Bali (2011);1
badung;Synodus jaculum;LC;MRAP Bali (2011);3
buleleng;Synodus jaculum;LC;MRAP Bali (2011);8
denpasar;Synodus variegatus;LC;MRAP Bali (2011);9
buleleng;Ophidiid sp. (deep 70m Menjangan);LC;MRAP Bali (2011);8
badung;Antennarius rosaceus;LC;MRAP Bali (2011);3
badung;Antennatus tuberosus;LC;MRAP Bali (2011);3
buleleng;Diademichthys lineatus;LC;MRAP Bali (2011);8
buleleng;Lepadichthys lineatus;LC;MRAP Bali (2011);8
buleleng;Lepadichthys species;LC;MRAP Bali (2011);8
badung;Valamugil seheli;LC;MRAP Bali (2011);3
badung;Tylosurus crocodilus;LC;MRAP Bali (2011);3
buleleng;Tylosurus crocodilus;LC;MRAP Bali (2011);8
denpasar;Myripristis berndti;LC;MRAP Bali (2011);9
badung;Myripristis berndti;LC;MRAP Bali (2011);3
karangasem;Myripristis berndti;LC;MRAP Bali (2011);7
badung;Myripristis botche;LC;MRAP Bali (2011);3
badung;Myripristes chryseres;LC;MRAP Bali (2011);3
badung;Myripristis hexagona;LC;MRAP Bali (2011);3
buleleng;Myripristis hexagona;LC;MRAP Bali (2011);8
denpasar;Myripristis kuntee;LC;MRAP Bali (2011);9
badung;Myripristis kuntee;LC;MRAP Bali (2011);3
karangasem;Myripristis kuntee;LC;MRAP Bali (2011);7
denpasar;Myripristis murdjan;LC;MRAP Bali (2011);9
badung;Myripristis murdjan;LC;MRAP Bali (2011);3
buleleng;Myripristis murdjan;LC;MRAP Bali (2011);8
badung;Myripristis pralinia;LC;MRAP Bali (2011);3
badung;Myripristis vittata;LC;MRAP Bali (2011);3
denpasar;Neoniphon sammara;LC;MRAP Bali (2011);9
badung;Neoniphon sammara;LC;MRAP Bali (2011);3
karangasem;Neoniphon sammara;LC;MRAP Bali (2011);7
denpasar;Sargocentron caudimaculatum;LC;MRAP Bali (2011);9
badung;Sargocentron caudimaculatum;LC;MRAP Bali (2011);3
karangasem;Sargocentron caudimaculatum;LC;MRAP Bali (2011);7
buleleng;Sargocentron caudimaculatum;LC;MRAP Bali (2011);8
badung;Sargocentron diadema;LC;MRAP Bali (2011);3
badung;Sargocentron melanospilos;LC;MRAP Bali (2011);3
badung;Sargocentron microstoma;LC;MRAP Bali (2011);3
denpasar;Sargocentron rubrum;LC;MRAP Bali (2011);9
badung;Sargocentron rubrum;LC;MRAP Bali (2011);3
jembrana;Sargocentron rubrum;LC;MRAP Bali (2011);1
buleleng;Eurypegasus draconis;LC;MRAP Bali (2011);8
buleleng;Pegasus volitans;LC;MRAP Bali (2011);8
denpasar;Aulostomus chinensis;LC;MRAP Bali (2011);9
badung;Aulostomus chinensis;LC;MRAP Bali (2011);3
karangasem;Aulostomus chinensis;LC;MRAP Bali (2011);7
buleleng;Aulostomus chinensis;LC;MRAP Bali (2011);8
badung;Fistulariidae (1 spp.);LC;MRAP Bali (2011);3
denpasar;Fistularia commersonii;LC;MRAP Bali (2011);9
badung;Fistularia commersonii;LC;MRAP Bali (2011);3
buleleng;Fistularia commersonii;LC;MRAP Bali (2011);8
buleleng;Aeoliscus strigatus;LC;MRAP Bali (2011);8
jembrana;Aeoliscus strigatus;LC;MRAP Bali (2011);1
jembrana;Centriscus cristatus;LC;MRAP Bali (2011);1
denpasar;Centriscus scutatus;LC;MRAP Bali (2011);9
badung;Centriscus scutatus;LC;MRAP Bali (2011);3
buleleng;Corythoichthys haematopterus;LC;MRAP Bali (2011);8
jembrana;Doryrhamphus melanopleura;LC;MRAP Bali (2011);1
denpasar;Dunckerocampus dactyliophorus;LC;MRAP Bali (2011);9
buleleng;Dunckerocampus dactyliophorus;LC;MRAP Bali (2011);8
badung;Hippocampus histrix;LC;MRAP Bali (2011);3
buleleng;Hippocampus kuda;LC;MRAP Bali (2011);8
buleleng;Trachyrhamphus bicoarctatus;LC;MRAP Bali (2011);8
buleleng;Dendrochirus brachypterus;LC;MRAP Bali (2011);8
denpasar;Dendrochirus zebra;LC;MRAP Bali (2011);9
badung;Dendrochirus zebra;LC;MRAP Bali (2011);3
buleleng;Dendrochirus zebra;LC;MRAP Bali (2011);8
jembrana;Dendrochirus zebra;LC;MRAP Bali (2011);1
badung;Parascorpaena picta;LC;MRAP Bali (2011);3
buleleng;Parascorpaena picta;LC;MRAP Bali (2011);8
badung;Pterois antennata;LC;MRAP Bali (2011);3
buleleng;Pterois antennata;LC;MRAP Bali (2011);8
badung;Pterois mombasae;LC;MRAP Bali (2011);3
badung;Pterois radiata;LC;MRAP Bali (2011);3
badung;Pterois russellii;LC;MRAP Bali (2011);3
buleleng;Pterois russellii;LC;MRAP Bali (2011);8
badung;Pterois volitans;LC;MRAP Bali (2011);3
buleleng;Pterois volitans;LC;MRAP Bali (2011);8
badung;Scorpaenodes kelloggi;LC;MRAP Bali (2011);3
badung;Scorpaenodes parvipinnis;LC;MRAP Bali (2011);3
denpasar;Scorpaenodes varipinnis;LC;MRAP Bali (2011);9
badung;Scorpaenopsis diabolus;LC;MRAP Bali (2011);3
denpasar;Scorpaenopsis oxycephala;LC;MRAP Bali (2011);9
badung;Scorpaenopsis oxycephala;LC;MRAP Bali (2011);3
denpasar;Scorpaenopsis papuensis;LC;MRAP Bali (2011);9
badung;Scorpaenopsis papuensis;LC;MRAP Bali (2011);3
buleleng;Scorpaenopsis papuensis;LC;MRAP Bali (2011);8
badung;Scorpaenopsis possi;LC;MRAP Bali (2011);3
denpasar;Taenianotus triacanthus;LC;MRAP Bali (2011);9
buleleng;Inimicus didactylus;LC;MRAP Bali (2011);8
jembrana;Inimicus didactylus;LC;MRAP Bali (2011);1
buleleng;Ablabys macracanthus;LC;MRAP Bali (2011);8
denpasar;Ablabys taenianotus;LC;MRAP Bali (2011);9
buleleng;Cymbacephalus beauforti;LC;MRAP Bali (2011);8
buleleng;Onigocia pedimacula;LC;MRAP Bali (2011);8
badung;Dactyloptena orientalis;LC;MRAP Bali (2011);3
denpasar;Aethaloperca rogaa;LC;MRAP Bali (2011);9
badung;Aethaloperca rogaa;LC;MRAP Bali (2011);3
buleleng;Aethaloperca rogaa;LC;MRAP Bali (2011);8
badung;Anyperodon leucogrammicus;LC;MRAP Bali (2011);3
buleleng;Anyperodon leucogrammicus;LC;MRAP Bali (2011);8
jembrana;Anyperodon leucogrammicus;LC;MRAP Bali (2011);1
badung;Belonoperca chabanaudi;LC;MRAP Bali (2011);3
badung;Cephalopholis argus;LC;MRAP Bali (2011);3
buleleng;Cephalopholis argus;LC;MRAP Bali (2011);8
badung;Cephalopholis cyanostigma;LC;MRAP Bali (2011);3
buleleng;Cephalopholis cyanostigma;LC;MRAP Bali (2011);8
jembrana;Cephalopholis cyanostigma;LC;MRAP Bali (2011);1
badung;Cephalopholis leopardus;LC;MRAP Bali (2011);3
buleleng;Cephalopholis leopardus;LC;MRAP Bali (2011);8
buleleng;Cephalopholis microprion;LC;MRAP Bali (2011);8
